Rang,Kommandant,Allianz,Punkte
1,SNEAKY BUNNY,AZOZ,21668294
2,Fürst der Nazgûl,AZOZ,16877662
3,Kotor47,AZOZ,15905915
4,Bugab0o,AZOZ,12291803
5,UMY Stern,AZOZ,10375245
6,Jónny666,AZOZ,10260035
7,IefueT,AZOZ,9473544
8,Amir Yakuza,AZOZ,9073200
9,Jacob Carter,AZOZ,8702406
10,Lieutenant Treetops,AZOZ,8608355
11,Smowy,AZOZ,8432080
12,Fran171526,AZOZ,8352815
13,Dragon blou,AZOZ,8284965
14,Giorgiotown,AZOZ,8208463
15,haasenpeter rex,AZOZ,7912420
16,Cluster82,AZOZ,7776650
17,Last Wolf Warrior,AZOZ,7723472
18,PHOENIX FOX,AZOZ,7558767
19,Crossf4d3,AZOZ,7532516
20,Gordon Freimann,AZOZ,7417572
21,Kyrtider,AZOZ,7406541
22,Bogo und Pini,AZOZ,7324698
23,CalziferFire,AZOZ,7293123
24,JSheridan,AZOZ,7208555
25,Last Arti,AZOZ,6199750
26,sunny75,AZOZ,5562000
27,azerty57,AZOZ,5479175
28,Marshalfery,AZOZ,5443394
