Rank,Name,Score
1,[AZO]SNEAKY BUNNY,3243864
2,[AZO]FATUUM,1392442
3,[AZO]Kotor47,1237900
4,[AZO]Giorgiotown,1234590
5,[AZO]haasenpeter rex,1113101
6,[AZO]Fran171526,939809
7,[AZO]Fürst der Nazgûl,866081
8,[AZO]Dr Cal Lightman,671428
9,[AZO]EXITUS,552585
10,[AZO]Bogo und Pini,520746
11,[AZO]lefueT,511586
12,[AZO]Kytrider,489240
13,[AZO]Dejweed,352234
14,[AZO]Aenwe,271642
15,[AZO]Amir Yakuza,244556
16,[AZO]jukata,217262
17,[AZO]fffeyz,189007
18,[AZO]Lieutenant Treetops,147719
19,[AZO]Christo30,47642
