position;name;points
1;Smowy;5786835
2;pizm8 ツ;3851658
3;ComandanteFelps;3725590
4;Li La QuEeNuS;3503733
5;Fluffy;2565285
6;Bugab0o;2492597
7;Baba Basti;2218351
8;JSheridan;2070165
9;Ph1LAES;1997231
10;Golden F0X;1821680
11;IefueT;1785631
12;LE LIGRE;1775435
13;Last Wolf Warrior;1573444
14;adhd9;1540702
15;lazerty57;1525236
16;Katerina77;1295866
17;PIRAT 13;1157355
18;EnsAras;961791
19;CL16CS55;740307
20;111Dave111;590150
21;Babakuji;493560
22;Mac1902;364943
23;Sanya Longer;286834
24;Enia la simpatica;231553
25;Dragon blou;36560
