position;name;rank;points
1;azerty57;R3;105050
2;Sanya Longer;R2;100050
3;cappu97;R4;83250
4;Space peak;R2;72200
5;Bugab0o;R3;70400
6;CL16CS55;R3;67300
7;jukata;R3;66200
8;waynowazza;R3;65650
9;Svela17;R3;64600
10;mr prynn;R2;64200
11;Bogo und Pini;R3;64100
12;K E R S Y;R3;60550
13;Queeniiiiii;R5;60550
14;ECSI;R3;58500
15;DragonWiz;R3;57000
16;Anakín;R3;56900
17;Golden FOX;R3;56650
18;Captain ESCANOR;R3;55750
19;Smowy;R4;55600
20;Toby Urbex;R1;55350
21;SNPOL;R3;54700
22;IefueT;R3;53750
23;Sphere8472;R3;53500
24;Last Wolf Warrior;R3;52800
25;Kytrider;R4;52550
26;Enia la simpatica;R2;52400
27;111Dave111;R3;50850
28;feimel;R3;50400
29;Adäm;R3;49850
30;Cluster82;R3;49650
31;Archy Monkey;R3;49250
32;JSnoopy;R3;48900
33;Fluffy;R3;48550
34;LE LIGRE;R3;48350
35;Dragon blou;R3;48350
36;Príncess;R3;48250
37;supi pupi;R4;48150
38;PHILAES;R3;47500
39;DaliborDaki;R3;47450
40;Kpiftw;R1;47150
41;Fran171526;R4;46900
42;EnsAras;R2;46750
43;Cichax0;R3;46200
44;Kotor47;R3;45500
45;SNEAKY BUNNY;R3;45450
46;mybo0;R3;45400
47;Mac1902;R2;45300
48;Mudin364;R3;45000
49;pizm8 ツ;R4;44950
50;Tcherbilmock;R2;44600
51;PIRAT 13;R2;44150
52;Babakuji;R2;44050
53;PHOENIX FOX;R4;43950
54;JSheridan;R4;43900
55;Chrisiiii;R3;43750
56;GaaGol;R2;43650
57;Li La QuEeNuS;R3;43600
58;ozzy5255;R2;43050
59;adhd9;R3;42900
60;CalibratGTR;R3;42500
61;Baba Basti;R3;42050
62;Pinsel20;R1;41950
63;Arkangel ツ;R2;41700
64;UMY LION OF GOD CC;R3;41550
65;Feivel D MauS;R1;41200
66;Fürst der Nazgúl;R4;41150
67;Dejweed;R3;40250
68;Tyskie 66;R3;39900
69;Campio91;R2;39700
70;haasenpeter rex;R4;39700
71;Haulsen;R3;39700
72;Aenwe;R3;39200
73;CalziferFire;R3;38950
74;EXITUS;R3;38150
75;LordHemorrhoid;R2;38050
76;LatastrophenUlli;R2;37600
77;Giorgiotown;R3;36650
78;ComandanteFelps;R3;36450
79;Sultan Murat X;R1;36350
80;Leijjonamieli;R2;36300
81;scotch2013;R2;35950
82;fffeyz;R3;35800
83;Katerina77;R3;34800
84;Tom12234455;R3;33500
85;Moooolah;R3;32200
86;SmartesGirl;R3;31100
87;Peeter99;R2;30950
88;sunny75;R3;30550
89;MiepStreet;R2;27500
90;hsk1338;R2;27500
91;giMp;R3;24950
92;Alìna;R2;23550
93;Lilien1999;R3;22900
94;Z4ID;R2;22200
95;MetauChopf;R3;21900
96;yyyyyyvhhnmll;R1;21550
97;FugitiveRazor1;R3;19500
98;Powwdér;R2;12050
99;Mischel89;R3;11850
100;dome94G;R3;5450
