position;name;points
1;Baba Basti;70.291.950
2;Bugab0o;66.878.750
3;Li La QuEeNuS;54.701.450
4;IefueT;47.966.250
5;Adám;41.212.150
6;SNEAKY BUNNY;40.168.800
7;Last Wolf Warrior;37.203.700
8;pizm8 ツ;32.144.050
9;Moooolah;31.740.050
10;Dejweed;30.506.300
11;Fürst der Nazgûl;29.767.900
12;Haulsen;27.596.400
13;SmartesGirl;26.513.200
14;Cichax0;25.034.100
15;Fluffy;24.267.100
16;Fran171526;24.140.350
17;LordHemorrhoid;24.135.750
18;supi pupi;23.485.750
19;scotch2013;22.808.300
20;Dragon blou;21.553.250
21;Archy Monkey;21.109.191
22;Queeniiiiii;20.933.850
23;Z4ID;20.592.550
24;Tcherbilmock;20.057.471
25;Feivel D MauS;19.655.000
26;adhd9;19.586.975
27;111Dave111;19.568.300
28;Leijonamieli;19.345.400
29;sunny75;19.065.450
30;Anakín;18.918.930
31;Tyskie 66;18.092.950
32;Tom12234455;17.661.000
33;Giorgiotown;17.086.100
34;PHILAES;17.068.500
35;Sphere8472;16.787.650
36;MetauChopf;16.758.650
37;Alina;16.131.900
38;Sanya Longer;15.711.652
39;ozzy5255;15.660.350
40;Aenwe;15.297.750
41;LE LIGRE;14.802.864
42;SNPOL;14.729.250
43;PHOENIX FOX;14.518.500
44;Cluster82;14.482.250
45;Príncess;14.349.450
46;EnsAras;14.348.325
47;Kytrider;14.329.950
48;Svela17;13.881.200
49;mr prynn;13.687.850
50;jukata;13.659.550
51;Golden FOX;13.600.250
52;EXITUS;13.559.700
53;Space peak;13.478.950
54;Mudin364;13.187.300
55;Chrisiiii;12.938.550
56;azerty57;12.931.950
57;Captain ESCANOR;12.370.400
58;gjMp;12.245.850
59;DaliborDaki;11.966.250
60;haasenpeter rex;11.750.700
61;CalibratGTR;11.673.250
62;Kotor47;11.539.300
63;Lilien1999;11.440.050
64;Toby Urbex;11.341.250
65;feimel;11.313.700
66;Campio91;11.302.335
67;Katerina77;11.257.100
68;Sultan Murat X;10.112.850
69;CL16CS55;10.106.152
70;fffeyz;9.723.700
71;K E R S Y;9.715.150
72;Arkangel ツ;9.622.850
73;FugitiveRazor1;9.542.450
74;DragonWiz;9.476.250
75;GaaGol;9.426.250
76;JSnoopy;9.319.150
77;Babakuji;9.226.000
78;dome94G;9.175.850
79;hsk1338;8.960.200
80;Mac1902;8.885.350
81;ECSI;8.820.300
82;waynowazza;8.820.250
83;JSheridan;8.536.500
84;PIRAT 13;8.520.800
85;Kpiftw;8.305.750
86;cappu97;8.292.250
87;ComandanteFelps;8.022.700
88;Bogo und Pini;7.901.150
89;Peeter99;7.734.750
90;MiepStreet;7.645.800
91;LatastrophenUlli;7.569.900
92;mybo0;7.450.500
93;Mischel89;7.421.700
94;Enia la simpatica;7.224.300
95;Powwdér;7.051.100
96;yyyyyyvhhnmll;6.642.350
97;Smowy;5.539.950
98;CalziferFire;4.836.600
99;Pinsel20;4.502.700
100;UMY LION OF GOD CC;4.408.400
