Rang,Kommandant,Allianz,Punkte
1,Li La LiNuS,AZOZ,20602875
2,Jacob Carter,AZOZ,19305625
3,Tyskie 66,AZOZ,18157125
4,Baba Basti,AZOZ,17919500
5,2 s t y,AZOZ,16997375
6,Kotor47,AZOZ,14111000
7,SmartesGirl,AZOZ,13806250
8,Queen from AZO,AZOZ,13595375
9,BugaBoo,AZOZ,13446750
10,Jimi777,AZOZ,13115125
11,RAV28,AZOZ,12942000
12,JSheridan,AZOZ,12625750
13,Swe Sandman,AZOZ,12477000
14,Sphere8472,AZOZ,12435750
15,Svela17,AZOZ,12328375
16,SamoZlo,AZOZ,11985950
17,ECSI,AZOZ,11789875
18,MrSajmonn,AZOZ,11761375
19,UMY Stern,AZOZ,11732750
20,Fürst der Nazgûl,AZOZ,11541000
21,Peridakles,AZOZ,11518000
22,Amir Yakuza,AZOZ,10440816
23,Z4ID,AZOZ,10431475
24,DaliborDaki,AZOZ,10400500
25,cappu97,AZOZ,10304125
26,Smowy,AZOZ,10293875
27,Last Wolf Warrior,AZOZ,10185875
28,Dragon blou,AZOZ,10184050
29,PHOENIX FOX,AZOZ,10143800
30,MetauChopf,AZOZ,10125725
31,Jónny666,AZOZ,10125625
32,Pawelte,AZOZ,10082100
33,CalziferFire,AZOZ,10055875
34,Skywölkchen,AZOZ,9875750
35,GaaGol,AZOZ,9676550
36,Cluster82,AZOZ,9578500
37,Sanya Longer,AZOZ,9473575
38,Lilien1999,AZOZ,9416125
39,Dejweed,AZOZ,9384875
40,Haulsen,AZOZ,9350775
41,CërêålKîllër,AZOZ,9306400
42,Marshalfery,AZOZ,9108642
43,DooYooDoo,AZOZ,9012275
44,haasenpeter rex,AZOZ,8942500
45,sunny75,AZOZ,8917125
46,Leijonamieli,AZOZ,8823000
47,Toby Urbex,AZOZ,8805450
48,Fürstin Elora Faye,AZOZ,8766375
49,Kytrider,AZOZ,8683250
50,Christo30,AZOZ,8468500
51,Feivel D MauS,AZOZ,8428750
52,Tom12234455,AZOZ,8371625
53,Mel Lyn,AZOZ,8354000
54,Hhjjjjcg,AZOZ,8334125
55,Gordon Freimann,AZOZ,8302750
56,Xambash,AZOZ,8266375
57,EXITUS,AZOZ,8203250
58,Bogo und Pini,AZOZ,8172875
59,Pinsel20,AZOZ,8149500
60,Fran171526,AZOZ,7930125
61,FATUUM,AZOZ,7829250
62,Katerina77,AZOZ,7806750
63,IefueT,AZOZ,7777750
64,Cheesynator,AZOZ,7661250
65,Himbeertony,AZOZ,7650000
66,azerty57,AZOZ,7617575
67,fffeyz,AZOZ,7590375
68,KERSY,AZOZ,7582850
69,Giorgiotown,AZOZ,7580625
70,Dr Cal Lightman,AZOZ,7535125
71,DragonWiz,AZOZ,7506250
72,R2DrehZwo,AZOZ,7485850
73,ozzy5255,AZOZ,7412340
74,jukata,AZOZ,7389875
75,JSnoopy,AZOZ,7371125
76,Aenwe,AZOZ,7369000
77,Last Arti,AZOZ,7352250
78,Lieutenant Treetops,AZOZ,7352000
79,Schlabberbacke,AZOZ,7329750
80,Kpiftw,AZOZ,7320500
81,Yama Arashi,AZOZ,7255375
82,Bestia77,AZOZ,7254250
83,feimel,AZOZ,7218875
84,SNEAKY BUNNY,AZOZ,7203875
85,iAmTed,AZOZ,6938375
86,Sügärpüff,AZOZ,6691250
87,jobcenter FFM,AZOZ,6463250
88,The Pharo 2026,AZOZ,6329235
89,Mischel89,AZOZ,5992238
90,케프 부인,AZOZ,5903225
91,Br0nzo,AZOZ,5533500
92,SNPOL,AZOZ,5483625
93,LatastrophenUlli,AZOZ,5280775
94,Sultan Murat X,AZOZ,4834250
95,Mac1902,AZOZ,4723000
96,MiepStreet,AZOZ,4418925
97,K u r d o,AZOZ,4414552
98,yyyyyyvhhnmll,AZOZ,4210875
99,VxClicker,AZOZ,2000000
