Position,Name,Points
1,[AZO]UMY Stern,4877159
2,[AZO]Smowy,3112116
3,[AZO]Azuuzz,2883459
4,[AZO]2 s t y,2261394
5,[AZO]haasenpeter rex,1785422
6,[AZO]Skywölkchen,1244890
7,[AZO]RAV28,1066307
8,[AZO]JSheridan,1042435
9,[AZO]DaliborDaki,1028698
10,[AZO]PHOENIX FOX,968129
11,[AZO]Gordon Freimann,919214
12,[AZO]fffeyz,589879
13,[AZO]lazerty57,570930
14,[AZO]Bugab0o,484210
15,[AZO]Hhjijjjcg,310122
16,[AZO]Dragon blou,255845
17,[AZO]Sanya Longer,211890
18,[AZO]Katerina77,210824
19,[AZO]Fürstin Elora,170005
20,[AZO]Last Arti,165741
21,[AZO]SamoZlo,165360
22,[AZO]Marshalfery,58114
