Position,Name,Rank,Points
1,azerty57,R3,119650
2,cappu97,R4,101350
3,Bugab0o,R3,79400
4,PHOENIX FOX,R4,66050
5,K E R S Y,R3,65900
6,Svela17,R3,65350
7,Jónny666,R3,64300
8,Queen from AZO,R5,64050
9,Last Wolf Warrior,R3,63050
10,Sphere8472,R3,62400
11,jukata,R3,61550
12,Kytrider,R4,61500
13,ECSI,R3,60500
14,Schlabberbacke,R4,60100
15,Cluster82,R3,58950
16,Gordon Freimann,R3,58600
17,Skywölkchen,R3,58450
18,supi pupi,R4,57900
19,Kotor47,R3,56350
20,Pawelte,R3,55150
21,Jimi777,R3,54950
22,Smowy,R4,54900
23,RAV28,R3,54850
24,Toby Urbex,R3,53950
25,Fürstin Elora,R3,53950
26,SNPOL,R3,53600
27,Christo30,R3,53400
28,lefueT,R3,52900
29,DragonWiz,R3,52500
30,Giorgiotown,R3,51750
31,sunny75,R3,49950
32,Last Arti,R3,49950
33,Sanya Longer,R3,49900
34,Li La LiNuS,R3,49200
35,fffeyz,R3,49200
36,Fran171526,R3,49100
37,ozzy5255,R2,48750
38,Baba Basti,R3,48700
39,JSheridan,R4,48700
40,jobcenter FFM,R2,48200
41,Sultan Murat X,R1,47950
42,EXITUS,R3,47850
43,UMY Stern,R3,47750
44,Haulsen,R3,47600
45,DaliborDaki,R3,47500
46,Bestia77,R3,47400
47,2 s t y,R3,47250
48,CalziferFire,R3,47150
49,케포 부인,R2,47050
50,Jacob Carter,R3,47050
51,SamoZlo,R3,46900
52,Kpiftw,R3,46850
53,FATUUM,R3,46850
54,The Pharo 2026,R1,46800
55,Fürst der Nazgûl,R4,46450
56,Bogo und Pini,R3,46250
57,Marshalfery,R3,46200
58,MrSajmonn,R3,45900
59,Dragon blou,R3,45900
60,Mac1902,R3,45700
61,SNEAKY BUNNY,R3,45600
62,Katerina77,R3,45100
63,MG Mayo,R2,44700
64,Dr Cal Lightman,R3,44400
65,Pinsel20,R3,44250
66,Tom12234455,R3,43750
67,Dejweed,R3,43350
68,Aenwe,R3,43000
69,MetauChopf,R3,42200
70,haasenpeter rex,R4,42100
71,Tyskie 66,R2,42050
72,Feivel D MauS,R3,41550
73,GaaGol,R2,41350
74,Mel Lyn,R3,41150
75,Himbeertony,R2,41100
76,Cheesynator,R2,40250
77,feimel,R3,39150
78,SmartesGirl,R4,38600
79,Hhjjjjcg,R3,36350
80,MiepStreet,R2,35250
81,Leijonamieli,R3,34700
82,K u r d o,R1,34300
83,Lilien1999,R2,32600
84,Peridakles,R3,32550
85,VxClicker,R1,27600
86,LatastrophenUlli,R2,26650
87,yyyyyyyvhnnml,R1,26300
88,Z4ID,R3,22850
89,Mischel89,R1,17950
90,dome94G,R2,17300
91,TheShorty,R1,10800
92,MacRoM,R1,0
93,R2DrehZwo,R1,0
