Position,Name,Punkte
1,Peridakles,46631734
2,cappu97,34327200
3,Giorgiotown,33211350
4,FATUUM,29671450
5,SamoZlo,27830828
6,Svela17,27355440
7,jobcenter FFM,26576296
8,DaliborDaki,25846822
9,ozzy5255,25085814
10,Sanya Longer,24908588
11,JSheridan,23183554
12,Marshalfery,18761346
13,EXITUS,18299670
14,케포 부인,17343554
15,Pawelte,17239592
16,Kotor47,16083298
17,Li La LiNuS,15773866
18,Fürstin Elora,15547174
19,MetauChopf,15376900
20,Baba Basti,13955718
21,Christo30,13936728
22,Dragon blou,13787120
23,Bugab0o,13713824
24,2 s t y,13540260
25,Jacob Carter,13522500
26,Cheesynator,13449292
27,Tom12234455,13296110
28,lefueT,12785290
29,sunny75,12341616
30,Gordon Freimann,12339234
31,SNPOL,12279464
32,haasenpeter rex,12081696
33,Skywölkchen,11746242
34,Feivel D MauS,11613170
35,Aenwe,11285076
36,Mac1902,11095578
37,The Pharo 2026,10739380
38,DragonWiz,10683002
39,PHOENIX FOX,10437642
40,azerty57,10334082
41,Last Wolf Warrior,10124384
42,Pinsel20,10053130
43,MiepStreet,10019924
44,MrSajmonn,9991440
45,Smowy,9913566
46,Cluster82,9802428
47,Toby Urbex,9786884
48,GaaGol,9672146
49,yyyyyyyhhnmll,9522434
50,Haulsen,9420372
51,fffeyz,9368592
52,Bogo und Pini,9321040
53,Sphere8472,9282644
54,UMY Stern,9273980
55,Jónny666,9105878
56,Dejweed,8995340
57,Hhjjjjcg,8943170
58,VxClicker,8895232
59,Schlabberbacke,8691170
60,Kpiftw,8664980
61,Fran171526,8631462
62,Fürst der Nazgûl,8553576
63,Dr Cal Lightman,8499220
64,Sultan Murat X,8480418
65,Mischel89,8447648
66,jukata,8289462
67,ECSI,8252118
68,supi pupi,8246044
69,Queen from AZO,8224432
70,Last Arti,8115850
71,Jimi777,8029426
72,RAV28,7900152
73,LatastrophenUlli,7878362
74,Bestia77,7787294
75,Leijonamieli,7617262
76,SmartesGirl,7568558
77,Kytrider,7535884
78,SNEAKY BUNNY,7535058
79,Lilien1999,7521358
80,CalziferFire,7465794
81,KERSY,7404654
82,Himbeertony,7340318
83,Tyskie 66,7288832
84,Mel Lyn,7224370
85,Kurdo,5719210
86,feimel,4802710
87,Z4ID,4688382
88,Katerina77,4261212
89,MG Mayo,3120412
