Rank,Name,Points
1,[AZO]Kampfratze,2146571
2,[AZO]Giorgiotown,1298565
3,[AZO]EXITUS,890762
4,[AZO]Fran171526,857871
5,[AZO]Dejweed,857222
6,[AZO]Kotor47,827504
7,[AZO]haasenpeter rex,668964
8,[AZO]Aenwe,578465
9,[AZO]SNEAKY BUNNY,548113
10,[AZO]Amir Yakuza,380939
11,[AZO]1lukasz1,312264
12,[AZO]fffeyz,150804
