position;name;points
1;Anakín;3822825
2;Archy Monkey;3695937
3;UMY LION OF GOD CC;3461308
4;pizm8 ツ;3044869
5;Kytrider;2773293
6;Kotor47;2165321
7;Adàm;2160094
8;Fran171526;1949670
9;supi pupi;1523401
10;Jadhd9;1367792
11;Haulsen;1366234
12;Dejweed;1246580
13;haasenpeter rex;1120103
14;SNEAKY BUNNY;1093947
15;CalibratGTR;847404
16;Tcherbilmock;829151
17;hsk1338;777315
18;mr prynn;725093
19;LE LIGRE;488564
20;jukata;446066
21;Giorgiotown;435952
22;ENG ķ;390387
23;Svela17;179029
24;SNPOL;161750
25;Bogo und Pini;92855
