position;name;points
1;IefueT;43.961.667
2;pizm8 ツ;38.461.415
3;Smowy;33.039.887
4;supi pupi;18.871.384
5;Kotor47;17.172.343
6;UMY LION OF GOD CC;15.117.549
7;Fran171526;15.020.725
8;SNEAKY BUNNY;12.921.743
9;Last Wolf Warrior;12.596.897
10;Fürst der Nazgûl;10.368.342
11;Moooolah;10.277.157
12;Kytrider;9.708.632
13;CalibratGTR;9.367.049
14;Enia la simpatica;9.174.940
15;Cluster82;9.092.113
16;mr prynn;9.088.600
17;SNPOL;9.029.297
18;Anakín;8.910.222
19;LE LIGRE;8.486.681
20;haasenpeter rex;8.219.440
21;JSheridan;8.213.271
22;Captain ESCANOR;8.145.600
23;Chrisiiii;8.136.085
24;adhd9;7.967.220
25;PHILAES;7.951.093
26;FugitiveRazor1;7.920.344
27;Tyskie 66;7.898.228
28;Mudin364;7.853.808
29;feimel;7.694.400
30;Archy Monkey;7.662.339
31;ComandanteFelps;7.535.068
32;Feivel D Maus;7.503.440
33;Svela17;7.434.150
34;Li La LiNuS;7.431.752
35;Sultan Murat X;7.426.591
36;Aenwe;7.420.668
37;Dejweed;7.406.499
38;Giorgiotown;7.370.487
39;CalziferFire;7.356.696
40;Dragon blou;7.304.450
41;Fluffy;7.266.652
42;CL16CS55;7.266.474
43;PIRAT 13;7.221.750
44;DaliborDaki;7.072.306
45;DragonWiz;6.928.691
46;PHOENIX FOX;6.019.500
47;Queeniiiiiii;5.965.089
48;111Dave111;5.785.311
49;Campio91;5.665.531
50;sunny75;5.658.450
51;jukata;5.525.842
52;mybo0;5.503.401
53;Alina;5.494.902
54;cappu97;5.252.021
55;Arkangel ツ;5.224.847
56;K E R S Y;5.146.200
57;ECSI;5.125.350
58;Peeter99;5.044.685
59;Babakuji;4.944.750
60;JSnoopy;4.816.380
61;Space peak;4.785.300
62;azerty57;4.738.200
63;Bogo und Pini;4.658.400
64;ozzy5255;4.627.200
65;Bugab0o;4.615.361
66;Leijonamieli;4.582.200
67;hsk1338;4.531.639
68;Katerina77;4.484.400
69;Lilien1999;4.470.750
70;LatastrophenUlli;4.465.852
71;GaaGol;4.334.647
72;Kpiftw;4.315.875
73;Adàm;4.286.187
74;Baba Basti;4.224.119
75;giMp;4.201.525
76;waynowazza;4.127.785
77;Tom12234455;4.095.600
78;Z4ID;4.040.100
79;Mac1902;3.900.309
80;Cichax0;3.887.544
81;Tcherbilmock;3.886.542
82;Fürstin;3.860.100
83;Toby Urbex;3.848.550
84;LordHemorrhoid;3.829.800
85;EXITUS;3.794.400
86;Golden FOX;3.779.850
87;SmartesGirl;3.727.350
88;yyyyyyvhhnmll;3.713.100
89;Mischel89;3.616.140
90;Pinsel20;3.608.550
91;Haulsen;3.472.800
92;scotch2013;3.455.982
93;fffeyz;3.092.910
94;MiepStreet;2.651.400
95;MetauChopf;2.610.300
96;Powwdér;2.375.000
97;Sanya Longer;2.253.625
98;Seniorcoca;2.052.820
99;Sphere8472;1.800.000
100;dome94G;1.125.000
