position;name;rank;points
1;Bugab0o;R3;94700
2;Sanya Longer;R2;88600
3;azerty57;R3;88300
4;cappu97;R4;78450
5;Space peak;R2;76850
6;waynowazza;R3;75550
7;CL16CS55;R3;68400
8;jukata;R3;68300
9;Bogo und Pini;R3;66600
10;Enia la simpatica;R2;65450
11;Queeniiiiii;R5;65150
12;lefueT;R3;64550
13;mr prynn;R2;63550
14;K E R S Y;R3;62750
15;Smowy;R4;61900
16;feimel;R3;61250
17;Kytrider;R4;60150
18;Anakín;R3;60050
19;Sphere8472;R3;58900
20;Cluster82;R3;58800
21;ECSI;R3;58300
22;Golden FOX;R3;57900
23;Svela17;R3;57900
24;JSnoopy;R3;57200
25;supi pupi;R4;54450
26;SNPOL;R3;53700
27;Katerina77;R3;53050
28;Fürst der Nazgúl;R4;52400
29;111Dave111;R3;51900
30;Moooolah;R3;51850
31;Fluffy;R3;50800
32;Last Wolf Warrior;R3;50700
33;pizm8 ツ;R4;50550
34;DragonWiz;R3;49850
35;ComandanteFelps;R3;49850
36;Captain ESCANOR;R3;49800
37;PHOENIX FOX;R4;49400
38;Li La QuEeNuS;R3;48450
39;Mudin364;R3;48400
40;Fran171526;R4;48350
41;Chrisiiiii;R3;48150
42;mybo0;R3;47900
43;Archy Monkey;R3;47800
44;PIRAT 13;R2;47750
45;Dragon blou;R3;47350
46;CalziferFire;R3;47300
47;SNEAKY BUNNY;R3;47200
48;SmartesGirl;R3;46800
49;LE LIGRE;R3;46500
50;Kotor47;R3;46400
51;GaaGol;R2;46350
52;Toby Urbex;R2;46050
53;Tcherbilmock;R2;46050
54;Fürstin;R3;45850
55;DaliborDaki;R3;45500
56;adhd9;R3;45450
57;PHILAES;R3;45300
58;Campio91;R2;45150
59;Adàm;R3;44800
60;Cichax0;R3;44800
61;Dejweed;R3;44300
62;ozzy5255;R2;44100
63;Baba Basti;R3;44000
64;Tom12234455;R3;43700
65;JSheridan;R4;43050
66;UMY LION OF GOD CC;R3;42650
67;Haulsen;R3;42050
68;Arkangel ツ;R2;42000
69;Pinsel20;R2;41900
70;EXITUS;R2;41600
71;LatastrophenUlli;R2;41200
72;Peeter99;R2;40800
73;scotch2013;R2;40700
74;Feivel D MauS;R3;40400
75;giMp;R3;40350
76;Mac1902;R2;40000
77;haasenpeter rex;R4;39750
78;Giorgiotown;R3;39400
79;LordHemorrhoid;R2;39200
80;CalibratGTR;R3;38900
81;Powwdér;R2;38750
82;Tyskie 66;R3;38050
83;Leijonamieli;R2;35350
84;hsk1338;R2;35300
85;Sultan Murat X;R3;35000
86;FugitiveRazor1;R3;34850
87;fffeyz;R3;34400
88;Aenwe;R3;33900
89;Babakuji;R2;32300
90;yyyyyyvhhnmll;R1;31150
91;Lilien1999;R3;29750
92;Kpiftw;R2;28250
93;MiepStreet;R2;26000
94;Alìna;R2;24600
95;Seniorcoca;R2;24150
96;MetauChopf;R3;21900
97;sunny75;R3;19850
98;Mischel89;R3;18950
99;Z4ID;R2;18350
100;dome94G;R2;15000
