position;name;points
1;Li La LiNuS;3686744
2;PHILAES;3147008
3;Smowy;3056538
4;Bugab0o;3036935
5;111Dave111;2552330
6;Feivel D MauS;2146064
7;Cluster82;2118167
8;JSheridan;2085375
9;Last Wolf Warrior;2028924
10;IefueT;1607806
11;ComandanteFelps;1519650
12;Baba Basti;1519537
13;PIRAT 13;1518986
14;Fluffy;1429463
15;Golden FOX;1360931
16;Jazerty57;1126538
17;CL16CS55;846103
18;mybo0;756201
19;Campio91;618520
20;DragonWiz;535288
21;PHOENIX FOX;388919
22;Mudin364;367470
23;FugitiveRazor1;258100
24;GaaGol;215954
25;Sanya Longer;70191
26;Katerina77;58692
