Rang;Name;Punkte
1;[AZO] Sneaky Bunny;3398348
2;[AZO] Kotor47;1468624
3;[AZO] Fürst der Nazgûl;1452098
4;[AZO] MacRoM;1270830
5;[AZO] Giorgiotown;1190124
6;[AZO] EXITUS;1026248
7;[AZO] Aenwe;915288
8;[AZO] Fran171526;904990
9;[AZO] Haulsen;897798
10;[AZO] haasenpeter rex;683088
11;[AZO] Dr Cal Lightman;682513
12;[AZO] LUCIFER;668098
13;[AZO] DiamonS;483067
14;[AZO] 1tukasz1;481265
15;[AZO] Kytrider;473504
16;[AZO] Fürstin von Knolle;215288
