Position,Name,Points
1,[AZO]Last Wolf Warrior,4284642
2,[AZO]Smowy,3585869
3,[AZO]UMY Stern,2729837
4,[AZO]JSheridan,2478064
5,[AZO]Golden FOX,2453677
6,[AZO]Li La LiNuS,2214868
7,[AZO]Baba Basti,2183244
8,[AZO]Svela17,1688700
9,[AZO]Dr Cal Lightman,1570618
10,[AZO]DaliborDaki,1503691
11,[AZO]fffeyz,1201754
12,[AZO]azerty57,892888
13,[AZO]계포 부인,845393
14,[AZO]PHOENIX FOX,743291
15,[AZO]Campio91,492919
16,[AZO]Sanya Longer,458279
17,[AZO]Fürstin,357939
18,[AZO]sunny75,299646
19,[AZO]DragonWiz,197493
20,[AZO]Katerina77,121993
