Position,Name,Points
1,Li La LiNuS,59.069.918
2,Bugab0o,55.411.490
3,Smowy,41.970.826
4,Pawelte,38.232.784
5,RAV28,35.333.856
6,Aenwe,35.189.848
7,Fürst der Nazgûl,33.199.856
8,UMY Stern,32.019.560
9,supi pupi,30.317.488
10,Tyskie 66,28.949.136
11,haasenpeter rex,26.939.560
12,케프 부인,26.593.248
13,TheShorty,26.366.618
14,Amir Yakuza,22.949.697
15,Cluster82,22.822.498
16,jobcenter FFM,22.276.858
17,Baba Basti,21.993.834
18,Kotor47,20.773.082
19,MrSajmonn,20.369.500
20,Last Arti,20.085.258
21,Jónny666,19.456.748
22,azerty57,19.336.782
23,Feivel D MauS,18.834.552
24,Jimi777,18.540.580
25,Fürstin Elora,18.517.978
26,DragonWiz,18.264.922
27,Hhjjjjcg,17.960.148
28,sNPOL,17.930.276
29,Campio91,17.267.758
30,Mischel89,17.079.144
31,Haulsen,16.708.750
32,Z4ID,16.700.966
33,waynowazza,16.506.294
34,Kpiftw,16.386.750
35,2 s t y,16.204.080
36,dome94G,16.197.238
37,MiepStreet,16.071.228
38,Jacob Carter,15.978.692
39,Schlabberbacke,15.850.776
40,cappu97,15.585.558
41,Dragon blou,15.513.016
42,SmartesGirl,15.414.282
43,jukata,15.332.868
44,EXITUS,14.937.332
45,DaliborDaki,14.921.772
46,Bogo und Pini,14.858.348
47,Katerina77,14.680.726
48,ozzy5255,14.385.902
49,Sanya Longer,14.336.184
50,Dejweed,14.320.500
51,Christo30,13.618.698
52,Marshalfery,13.480.599
53,Toby Urbex,13.320.948
54,MG Mayo,12.887.128
55,Fran171526,12.580.454
56,CalziferFire,12.498.452
57,The Pharo 2026,12.283.974
58,JSheridan,12.119.544
59,Golden FOX,12.105.500
60,Itstheghoul,12.096.192
61,Peridakles,12.071.666
62,K E R S Y,11.655.984
63,feimel,11.197.060
64,SNEAKY BUNNY,11.188.932
65,Himbeertony,11.131.730
66,LatastrophenUlli,10.951.786
67,yyyyyyvhhnmll,10.917.608
68,Peeter99,10.865.696
69,GaaGol,10.513.316
70,sunny75,10.446.834
71,PHOENIX FOX,10.015.324
72,Svela17,9.984.754
73,Tom12234455,9.964.972
74,VxClicker,9.506.000
75,Kytrider,9.342.332
76,Sultan Murat X,9.157.932
77,Giorgiotown,8.884.454
78,lefueT,8.742.226
79,Leijonamieli,8.518.722
80,Sphere8472,8.475.946
81,Gordon Freimann,8.382.090
82,ECSI,8.339.512
83,Pinsel20,8.133.074
84,Space peak,8.118.946
85,Dr Cal Lightman,7.890.830
86,Cheesynator,7.815.856
87,Mac1902,7.710.544
88,fffeyz,7.612.006
89,Queen from AZO,7.512.500
90,The Nanos,7.351.752
91,Lilien1999,7.318.082
92,Bestia77,7.308.174
93,Skywölkchen,7.217.492
94,SamoZlo,6.993.914
95,K u r d o,5.055.450
96,Last Wolf Warrior,265.074
