Position,Name,Punkte
1,Li La LiNuS,164718479
2,BugaBoo,156529833
3,RAV28,127822062
4,Smowy,126934950
5,SNEAKY BUNNY,120481454
6,Kotor47,116950069
7,supi pupi,112184402
8,Fran171526,110216998
9,UMY Stern,109082439
10,Fürst der Nazgúl,108782643
11,Baba Basti,107082825
12,Amir Yakuza,96493775
13,Jónny666,95933412
14,Haulsen,93094636
15,Tyskie 66,91688889
16,Gordon Freimann,83689150
17,MrSajmonn,83621705
18,haasenpeter rex,83579550
19,SNPOL,80036952
20,Kytrider,79714588
21,Jacob Carter,79702726
22,Pawelte,79256886
23,케포 부인,76117178
24,Dragon blou,74784646
25,Bogo und Pini,74105322
26,Dejweed,73812963
27,Aenwe,73236104
28,cappu97,71905586
29,Christo30,70763267
30,Tom12234455,70086413
31,Cluster82,67940773
32,dome94G,66241295
33,DragonWiz,66179755
34,Fürstin Elora,65276609
35,2 s t y,64485704
36,TheShorty,62568687
37,lefueT,60362338
38,EXITUS,58875748
39,Sphere8472,58052114
40,Last Arti,57831277
41,ozzy5255,56895162
42,Marshalfery,56823194
43,Katerina77,56743513
44,Hhjjjjcg,56648807
45,Kpiftw,56474065
46,Svela17,56247985
47,azerty57,55757366
48,CalziferFire,55512260
49,SmartesGirl,55281513
50,Toby Urbex,54353732
51,sunny75,54295533
52,Last Wolf Warrior,53925498
53,Queen from AZO,53850647
54,K E R S Y,52996152
55,JSheridan,52536735
56,Giorgiotown,52221824
57,Jimi777,51538863
58,Sanya Longer,51036343
59,fffeyz,50582513
60,DaliborDaki,50020029
61,PHOENIX FOX,49675447
62,jukata,49630791
63,Dr Cal Lightman,49391759
64,ECSI,48410259
65,GaaGol,48127488
66,feimel,48119301
67,Mischel89,47825974
68,jobcenter FFM,47479506
69,Peridakles,47217622
70,Himbeertony,46510816
Position,Name,Punkte
71,Z4ID,45798100
72,Cheesynator,43429602
73,Mac1902,42602169
74,Lilien1999,42598669
75,Sultan Murat X,42498993
76,Samozlo,41819089
77,LatastrophenUlli,41598638
78,Itstheghoul,41396278
79,MG Mayo,39288571
80,K u r d o,38542900
81,Campio91,37654470
82,Pinsel20,37351631
83,Peeter99,36489791
84,Golden FOX,35727600
85,Bestia77,35684337
86,The Pharo 2026,35664021
87,Leijonamieli,35129870
88,Feivel D MauS,33999794
89,MiepStreet,33768187
90,The Nanos,33582616
91,Space peak,31605225
92,Schlabberbacke,30840871
93,VxClicker,29846278
94,Skywölkchen,29147464
95,waynowazza,26652893
96,yyyyyyvhhmll,20654741
97,FATUUM,18893910
98,MetauChopf,2992727
