Position,Name,Rank,Points
1,azerty57,R3,93550
2,cappu97,R4,78100
3,PHOENIX FOX,R4,66700
4,Jónny666,R3,65300
5,Svela17,R3,64850
6,jukata,R3,64450
7,Bugab0o,R3,62700
8,ECSI,R3,61650
9,Smowy,R4,61500
10,Queen from AZO,R5,60700
11,Cluster82,R3,59300
12,Gordon Freimann,R3,58600
13,Kotor47,R3,57550
14,Last Wolf Warrior,R3,56850
15,Sanya Longer,R3,56850
16,K E R S Y,R3,54600
17,supi pupi,R4,54100
18,SNPOL,R3,53500
19,RAV28,R3,52700
20,Toby Urbex,R3,52500
21,TheShorty,R1,50650
22,Pawelte,R3,50300
23,lefueT,R3,50100
24,Jimi777,R3,49750
25,sunny75,R3,49450
26,Haulsen,R3,49150
27,UMY Stern,R3,49100
28,Kytrider,R4,48950
29,Fürstin Elora,R3,48600
30,Golden FOX,R1,48450
31,JSheridan,R4,48100
32,Tom12234455,R3,47950
33,Fürst der Nazgúl,R4,47550
34,케포 부인,R2,47200
35,Jacob Carter,R3,47000
36,Baba Basti,R3,46850
37,CalziferFire,R3,46850
38,Bogo und Pini,R3,46800
39,Dragon blou,R3,46800
40,Fran171526,R3,46550
41,SNEAKY BUNNY,R4,46250
42,MG Mayo,R2,46150
43,Sphere8472,R3,45150
44,Pinsel20,R3,45150
45,haasenpeter rex,R4,45100
46,EXITUS,R3,45050
47,DaliborDaki,R3,44900
48,DragonWiz,R3,44700
49,GaaGol,R2,44650
50,Dejweed,R3,44650
51,Aenwe,R3,44550
52,MrSajmonn,R3,44500
53,ozzy5255,R2,44200
54,Last Arti,R3,44050
55,fffeyz,R3,43800
56,Katerina77,R3,43700
57,SamoZlo,R3,43600
58,Kpiftw,R3,43100
59,Li La LiNuS,R3,42900
60,Christo30,R3,42850
61,Dr Cal Lightman,R3,42600
62,Amir Yakuza,R1,42600
63,The Nanos,R1,41500
64,Tyskie 66,R2,41200
65,Hhjjjjcg,R3,40700
66,Bestia77,R3,40650
67,Sultan Murat X,R1,40350
68,Peridakles,R3,40350
69,dome94G,R2,39800
70,LatastrophenUlli,R2,39350
71,2 s t y,R3,39050
72,Space peak,R1,38950
73,Giorgiotown,R3,36800
74,Mac1902,R3,36150
75,Campio91,R1,34950
76,Cheesynator,R2,34300
77,Marshalfery,R3,34050
78,Himbeertony,R2,33750
79,The Pharo 2026,R1,33500
80,Leijonamieli,R3,33400
81,waynowazza,R1,32750
82,yyyyyyvhnmll,R1,32450
83,Lilien1999,R3,32050
84,MiepStreet,R2,31700
85,Schlabberbacke,R4,31400
86,jobcenter FFM,R2,30150
87,K u r d o,R1,30100
88,feimel,R3,29250
89,Peeter99,R1,29150
90,SmartesGirl,R3,25800
91,Itstheghoul,R1,24550
92,Skywölkchen,R3,23750
93,Z4ID,R3,23700
94,VxClicker,R1,23650
95,Feivel D MauS,R3,16150
96,FATUUM,R3,15200
97,Mischel89,R1,13650
98,MetauChopf,R3,7950
