Position,Name,Punkte
1,Gordon Freimann,21807500
2,JSheridan,18769625
3,ECSI,17808500
4,Pawelte,16711450
5,SmartesGirl,16050000
6,Fürst der Nazgûl,14902125
7,Baba Basti,14898625
8,Last Arti,14820625
9,Kotor47,14801625
10,Bugab0o,13708750
11,SNEAKY BUNNY,13692750
12,MrSajmonn,13156250
13,Giorgiotown,12976250
14,Last Wolf Warrior,12867375
15,Sphere8472,12518625
16,Svela17,12363875
17,Hhjijijcg,12297775
18,DaliborDaki,12238625
19,Jacob Carter,12161625
20,PHOENIX FOX,12026050
21,jukata,11729875
22,Dragon blou,11377625
23,feimel,11366875
24,Dejweed,11346625
25,Mac1902,11208125
26,Smowy,11195000
27,lefueT,11179125
28,Pinsel20,11002125
29,Kyrtider,10707250
30,supi pupi,10592000
31,Jimi777,10572125
32,Mel Lyn,10544000
33,Jónny666,10509875
34,SNPOL,10463375
35,Skywölkchen,10413000
36,Marshalfery,10337167
37,Fürstin Elora,10320125
38,CalziferFire,10279125
39,Christo30,10222625
40,DragonWiz,10210625
41,VxClicker,10088750
42,Tyskie 66,9810125
43,Li La LiNuS,9656000
44,Xambash,9470375
45,haasenpeter rex,9426875
46,UMY Stern,9411500
47,Toby Urbex,9409875
48,GaaGol,9213150
49,Cheesynator,9097500
50,Cluster82,9027000
51,SamoZlo,9020850
52,Tom12234455,8961625
53,sunny75,8914375
54,cappu97,8894250
55,MG Mayo,8847250
56,Queen from AZO,8754000
57,Bogo und Pini,8675500
58,RAV28,8650000
59,azerty57,8581375
60,MetauChopf,8499750
61,Yama Arashi,8441500
62,Sugarpüff,8405750
63,ozzy5255,8396010
64,Feivel D MauS,8264125
65,Leijonamieli,8233875
66,Katerina77,8224625
67,FATUUM,8168800
68,Dr Cal Lightman,8101875
69,Lilien1999,8082375
70,Haulsen,8037700
71,Himbeertony,8031750
72,MiepStreet,7847350
73,계포 부인,7815950
74,Schlabberbacke,7809750
75,2 s t y,7794125
76,Z4ID,7681575
77,Sanya Longer,7462000
78,fffeyz,7446500
79,Fran171526,7407500
80,K E R S Y,7360375
81,jobcenter FFM,7351875
82,EXITUS,7346750
83,Aenwe,7267625
84,LatastrophenUlli,7263075
85,Mischel89,7239489
86,Kpiftw,7222750
87,The Pharo 2026,7074190
88,Peridakles,6110250
89,Bestia77,5925275
90,Sultan Murat X,5532375
91,yyyyyyvhhhmll,3298000
92,Kurdo,2807122
93,CërêålKillêr,2615500
