Position,Name,Punkte
1,Bugab0o,30475225
2,Smowy,26168400
3,ECSI,24855125
4,supi pupi,23935875
5,RAV28,23935550
6,lefueT,22231950
7,Li La LiNuS,22083675
8,Baba Basti,21007725
9,Kotor47,20290100
10,Gordon Freimann,20155125
11,Haulsen,19462700
12,Jacob Carter,19343175
13,MrSajmonn,18378125
14,SmartesGirl,17678200
15,Giorgiotown,17171225
16,JSheridan,16934175
17,PHOENIX FOX,16500850
18,Katerina77,16175175
19,SNPOL,16075100
20,haasenpeter rex,15642550
21,Skywölkchen,15617775
22,UMY Stern,15259350
23,Last Wolf Warrior,15184700
24,Fürst der Nazgûl,15096750
25,Jónny666,14994400
26,Aenwe,14987375
27,cappu97,14895800
28,Svela17,14468200
29,Fran171526,14259600
30,CërëalKillër,14093650
31,Cluster82,13408325
32,fffeyz,13390800
33,CalziferFire,13305100
34,Dejweed,13250250
35,SamoZlo,12567050
36,Kytrider,12194000
37,Pinsel20,11169150
38,Z4ID,11156650
39,Dr Cal Lightman,11086050
40,2 s t y,10961725
41,Queen from AZO,10946425
42,Bogo und Pini,10701225
43,Mac1902,10085325
44,Tyskie 66,9884550
45,Peridakles,9867725
46,K E R S Y,9492975
47,Sphere8472,9475300
48,Last Arti,9449675
49,jukata,9164550
50,Mel Lyn,9096350
51,Leijonamieli,9054725
52,sunny75,9035675
53,MetauChopf,9004850
54,DragonWiz,8913775
55,FATUUM,8816475
56,Christo30,8728625
57,Tom12234455,8587900
58,EXITUS,8511925
59,MiepStreet,8398350
60,azerty57,8304450
61,Pawelte,8285925
62,Sultan Murat X,8176025
63,ozzy5255,8163460
64,MG Mayo,8138250
65,Lilien1999,8099175
66,LatastrophenUlli,8028425
67,feimel,8014725
68,Feivel D Maus,7947900
69,GaaGol,7825400
70,Cheesynator,7817325
71,Toby Urbex,7805525
72,Fürstin Elora,7744650
73,Sanya Longer,7538200
74,Jimi777,7532875
75,Dragon blou,7499625
76,Kpiftw,7490700
77,Xambash,7457950
78,Süßärpüff,7430675
79,계포 부인,7320625
80,Himbeertony,7283075
81,Marshalfery,7272880
82,SNEAKY BUNNY,7246550
83,jobcenter FFM,7234550
84,Yama Arashi,6801425
85,DaliborDaki,6700800
86,Schlabberbacke,5898625
87,yyyyyyvhhmnll,5441325
88,Mischel89,5373021
89,Kurdo,4435474
90,Bestia77,4384500
91,VxClicker,4302600
92,Hhjjjjcg,1133600
93,The Pharo 2026,506000
