week,position 1,position 2, position 3
001,SNEAKY BUNNY,Kotor47,Fürst der Nazgul
002,Kampfratze,Giorgiotown,EXITUS
003,SNEAKY BUNNY,Azuuzz,Fran171526
004,SNEAKY BUNNY,Smowy,Giorgiotown
