Position,Name,Rank,Points
1,azerty57,R3,91700
2,Fürstin,R3,79250
3,cappu97,R4,78550
4,PHOENIX FOX,R4,68400
5,Svela17,R3,65450
6,Queeniiiiii,R5,65000
7,KERSY,R3,64950
8,jukata,R3,62500
9,Smowy,R4,62050
10,Cluster82,R3,61350
11,ECSI,R2,58950
12,Space peak,R1,57200
13,Golden FOX,R3,57150
14,Sphere8472,R3,56950
15,Kotor47,R4,56800
16,Last Wolf Warrior,R3,55450
17,lefueT,R3,55000
18,supi pupi,R4,54050
19,RAV28,R3,53750
20,SNPOL,R3,53150
21,Toby Urbex,R3,52950
22,MrSajmonn,R3,51900
23,Pawelte,R3,51200
24,Bugab0o,R3,51150
25,Gordon Freimann,R1,50850
26,waynowazza,R3,50450
27,Christo30,R1,50400
28,Campio91,R3,50350
29,Kytrider,R4,50050
30,Fran171526,R1,49850
31,JSheridan,R4,49850
32,The Nanos,R2,49550
33,케포 부인,R3,49450
34,Li La LiNuS,R3,49350
35,Dragon blou,R1,48500
36,Peridakles,R3,48350
37,Last Arti,R2,48250
38,Jónny666,R3,47700
39,Baba Basti,R3,47600
40,Pinsel20,R1,47200
41,DaliborDaki,R3,46900
42,Fürst der Nazgúl,R4,46600
43,sunny75,R3,46500
44,CalziferFire,R2,46300
45,Katerina77,R3,45750
46,Aenwe,R3,45400
47,UMY Stern,R3,45350
48,Jacob Carter,R1,44900
49,Haulsen,R3,44650
50,MG Mayo,R1,44200
51,2 s t y,R3,44100
52,ozzy5255,R3,43650
53,The Pharo 2026,R3,43150
54,fffeyz,R3,42950
55,haasenpeter rex,R4,42950
56,Jimi777,R1,42750
57,Sanya Longer,R1,42750
58,Mac1902,R3,42550
59,Skywölkchen,R3,42450
60,Bogo und Pini,R3,42050
61,TheShorty,R1,41950
62,Marshalferry,R1,41750
63,Sultan Murat X,R3,41550
64,Dejweed,R3,41050
65,DragonWiz,R3,40500
66,Kpiftw,R3,40050
67,dome94G,R3,39450
68,GaaGol,R3,39300
69,Itstheghoul,R3,39050
70,Dr Cal Lightman,R3,38550
71,Bestia77,R1,38550
72,SmartesGirl,R3,38250
73,SamoZlo,R2,37600
74,Lilien1999,R3,37550
75,Tom12234455,R2,36550
76,Schlabberbacke,R4,35250
77,EXITUS,R3,35100
78,Leijonamieli,R1,34400
79,LatastrophenUlli,R2,33050
80,yyyyyyvhhhnmll,R1,32950
81,Himbeertony,R3,32550
82,Peeter99,R3,31800
83,Giorgiotown,R3,31100
84,feimel,R3,30150
85,giMp,R2,29900
86,MetauChopf,R3,29400
87,Tyskie 66,R2,29300
88,MiepStreet,R1,29200
89,Feivel D Maus,R2,28350
90,z4ID,R2,26800
91,jobcenter FFM,R3,25250
92,Cheesynator,R2,22800
93,Kurdo,R1,22100
94,Mischel89,R2,22000
95,MellidieGroße,R3,15700
96,VxClicker,R1,6400
97,FATUUM,R1,0
