position;name;rank;points
1;azerty57;R3;90650
2;cappu97;R4;89250
3;Bugab0o;R3;84800
4;Space peak;R2;78200
5;waynowazza;R3;77550
6;jukata;R3;69000
7;mr prynn;R2;68100
8;Bogo und Pini;R3;66650
9;Queeniiiiii;R5;65150
10;CL16CS55;R3;65050
11;Golden FOX;R3;65050
12;Enia la simpatica;R2;63200
13;Anakín;R3;61550
14;ECSI;R3;59300
15;Svela17;R3;57900
16;Smowy;R4;57450
17;lefueT;R3;57150
18;K E R S Y;R3;56600
19;Toby Urbex;R2;54550
20;JSnoopy;R3;54400
21;DragonWiz;R3;54350
22;Cluster82;R3;54150
23;Captain ESCANOR;R3;53850
24;haasenpeter rex;R4;53750
25;Sphere8472;R3;53400
26;Haulsen;R3;52550
27;Katerina77;R3;52050
28;SNPOL;R3;51650
29;Kytrider;R4;51550
30;JSheridan;R4;51200
31;Fran171526;R4;51100
32;111Dave111;R3;50850
33;pizm8 ツ;R4;50050
34;Moooolah;R3;49450
35;Last Wolf Warrior;R3;48750
36;Kotor47;R3;47400
37;Fürstin;R3;47100
38;Babakuji;R2;47100
39;LE LIGRE;R3;47000
40;CalziferFire;R3;47000
41;Fluffy;R3;46800
42;SmartesGirl;R3;46700
43;Tcherbilmock;R2;46600
44;Pinsel20;R2;46500
45;Archy Monkey;R3;46100
46;PHILAES;R3;45950
47;PHOENIX FOX;R4;45650
48;Dragon blou;R3;45300
49;Kpiftw;R2;44900
50;mybo0;R3;44850
51;SNEAKY BUNNY;R3;44800
52;DaliborDaki;R3;44800
53;PIRAT 13;R2;44650
54;Campio91;R2;44550
55;Giorgiotown;R3;44500
56;adhd9;R3;44500
57;UMY LION OF GOD CC;R3;44250
58;supi pupi;R4;44200
59;Mac1902;R2;44150
60;Li La QuEeNuS;R3;43800
61;Cichax0;R3;43450
62;feimel;R3;43300
63;ozzy5255;R2;43300
64;Chrisiiiii;R3;43100
65;Baba Basti;R3;42750
66;Mudin364;R3;42350
67;LordHemorrhoid;R2;42300
68;LatastrophenUlli;R2;41600
69;ComandanteFelps;R3;41250
70;Feivel D MauS;R3;41050
71;Dejweed;R3;40900
72;Adàm;R3;40800
73;Sanya Longer;R2;40700
74;CalibratGTR;R3;40000
75;Tyskie 66;R3;39600
76;Aenwe;R3;39550
77;GaaGol;R2;39200
78;EXITUS;R3;38050
79;hsk1338;R2;37150
80;scotch2013;R2;35900
81;Fürst der Nazgûl;R4;35800
82;Sultan Murat X;R3;35800
83;sunny75;R3;35450
84;Tom12234455;R3;34750
85;Arkangel ツ;R2;32000
86;FugitiveRazor1;R3;31850
87;Lilien1999;R3;31550
88;giMp;R3;31150
89;fffeyz;R3;30200
90;z4ID;R2;27600
91;Alina;R2;27050
92;MiepStreet;R2;26800
93;Leijonamieli;R2;24650
94;Peeter99;R2;21350
95;yyyyyyyvhhnmll;R1;19750
96;Mischel89;R3;14000
97;dome94G;R3;11500
98;Powwdér;R2;11400
99;MetauChopf;R3;0
