position;name;points
1;Anakín;4069413
2;Archy Monkey;3378912
3;JSheridan;3114125
4;Adàm;2843418
5;Giorgiotown;2559000
6;Haulsen;2536976
7;CalibratGTR;2414031
8;LE LIGRE;2020658
9;haasenpeter rex;1816417
10;Kytrider;1717004
11;Fran171526;1692414
12;PHOENIX FOX;1686153
13;Kotor47;1639685
14;jadhd9;1603829
15;Bogo und Pini;1558467
16;Aenwe;1439692
17;Dejweed;1210502
18;Captain ESCANOR;1102142
19;JSnoopy;741724
20;UMY LION OF GOD CC;725236
21;Svela17;722115
22;mr prynn;663312
23;giMp;631035
24;scotch2013;537872
25;Mac1902;336730
26;z4lD;335506
27;Space peak;35517
