position;name;points
1;LordHemorrhoid;175.804.777
2;Giorgiotown;174.860.772
3;Baba Basti;153.835.803
4;pizm8 ツ;148.481.142
5;Smowy;143.681.670
6;azerty57;133.423.834
7;BugaB0o;133.147.610
8;haasenpeter rex;128.143.698
9;mybo0;126.478.715
10;cappu97;123.259.027
11;Li La QuEeNuS;117.730.150
12;DaliborDaki;117.511.627
13;Fran171526;117.305.358
14;Feivel D MauS;115.224.080
15;supi pupi;114.902.340
16;Kytrider;106.111.666
17;Captain ESCANOR;106.070.800
18;ozzy5255;101.566.281
19;FugitiveRazor1;98.641.146
20;Kotor47;97.504.499
