Position,Name,Punkte
1,Li La Linus,164278291
2,UMY Stern,117341608
3,Baba Basti,109828610
4,Fran171526,109574743
5,PHOENIX FOX,104569626
6,cappu97,104205461
7,Bugab0o,103382598
8,Giorgiotown,102516102
9,Peridakles,98901257
10,Cheesynator,98838421
11,Jacob Carter,94998370
12,JSheridan,93304313
13,SNPOL,91203602
14,Kotor47,89858512
15,SamoZlo,89487617
16,DaliborDaki,88593219
17,Pawelte,88050054
18,Svela17,85704113
19,2 s t y,84656783
20,haasenpeter rex,83760947
21,Fürstin Elora,82401741
22,Haulsen,82321349
23,Fürst der Nazgúl,82241204
24,Sphere8472,82231672
25,Katerina77,81447272
26,Jónny666,79076036
27,lefueT,79066886
28,Cluster82,79051438
29,EXITUS,77190799
30,Dragon blou,77166984
31,Last Wolf Warrior,76733986
32,ECSI,76096751
33,SmartesGirl,76072601
34,sunny75,76034901
35,supi pupi,75974460
36,Skywölkchen,75505232
37,DragonWiz,75147617
38,MetauChopf,74916316
39,Smowy,74865935
40,RAV28,74559082
41,Schlabberbacke,72717702
42,Feivel D MauS,72302298
43,Gordon Freimann,71073798
44,feimel,70877471
45,azerty57,69830366
46,Queen from AZO,69779868
47,Marshalfery,69069885
48,fffeyz,67026451
49,Lilien1999,65674865
50,MrSajmonn,65518772
51,Bogo und Pini,65055029
52,ozzy5255,64493068
53,Tom12234455,62577601
54,K E R S Y,62558849
55,Kyttrider,62471304
56,Christo30,61827138
57,jukata,60728930
58,FATUUM,60616111
59,Dr Cal Lightman,59342481
60,Last Arti,58561832
61,계포 부인,55998823
62,Tyskie 66,55551304
63,Mac1902,54122091
64,jobcenter FFM,53258711
65,Aenwe,53178604
66,Sanya Longer,52976452
67,Mischel89,52126496
68,Toby Urbex,51556192
69,Mel Lyn,51259399
70,CalziferFire,49779711
71,Dejweed,49120041
72,Jimi777,48956194
73,Himbeertony,48585074
74,Z4ID,47854278
75,MiepStreet,47786926
76,GaaGol,46866686
77,SNEAKY BUNNY,45515163
78,The Pharo 2026,44514504
79,Hhjjjjcg,44501728
80,Kpiftw,44351798
81,Bestia77,42843261
82,LatastrophenUlli,41492735
83,Pinsel20,41051445
84,Leijonamieli,40616519
85,Sultan Murat X,39361310
86,yyyyyyyhhnmll,37212845
87,K u r d o,34185415
88,VxClicker,32202192
89,MG Mayo,30132077
90,dome94G,15289401
91,TheShorty,513483
