position;name;rank;points
1;azerty57;R3;113550
2;waynowazza;R3;80700
3;cappu97;R4;80500
4;Bugab0o;R3;77300
5;SmartesGirl;R3;71300
6;Sanya Longer;R1;68750
7;Bogo und Pini;R3;68500
8;CL16CS55;R3;67800
9;jukata;R3;65450
10;Space peak;R2;64950
11;Archy Monkey;R3;64650
12;Queeniiiii;R5;63700
13;Svela17;R3;62450
14;JSnoopy;R3;58950
15;supi pupi;R4;58900
16;Golden FOX;R3;58850
17;Kytrider;R4;58750
18;ECSI;R3;57650
19;Smowy;R4;57650
20;Anakín;R3;56950
21;K E R S Y;R3;55900
22;PHOENIX FOX;R4;53750
23;lefueT;R3;53200
24;DragonWiz;R3;53150
25;Sphere8472;R3;53100
26;Cluster82;R3;52000
27;Captain ESCANOR;R2;51650
28;SNPOL;R3;50600
29;Moooolah;R3;50350
30;Pinsel20;R3;49400
31;Kotor47;R3;48200
32;Toby Urbex;R3;48150
33;Last Wolf Warrior;R3;47900
34;Fluffy;R3;47450
35;GaaGol;R3;47350
36;Adàm;R3;47250
37;Li La LiNuS;R3;46850
38;SNEAKY BUNNY;R2;46750
39;haasenpeter rex;R4;46750
40;LE LIGRE;R3;46600
41;111Dave111;R3;46550
42;Katerina77;R2;46000
43;Dragon blou;R3;45600
44;Mudin364;R3;45550
45;PHILAES;R3;45350
46;Sultan Murat X;R2;45100
47;Fürstin;R3;45000
48;mybo0;R3;44700
49;fffeyz;R3;44500
50;Cichax0;R3;44300
51;sunny75;R3;44100
52;JSheridan;R4;43650
53;pizm8 ツ;R4;43300
54;adhd9;R3;43250
55;DaliborDaki;R3;43150
56;Campio91;R2;43100
57;CalziferFire;R3;43000
58;Chrisiiii;R2;43000
59;Fran171526;R4;42950
60;Dejweed;R3;42700
61;Baba Basti;R3;41600
62;feimel;R3;40850
63;Aenwe;R3;40600
64;تاجM;R3;40550
65;LatastrophenUlli;R2;40100
66;ozzy5255;R2;39850
67;Babakuji;R3;39600
68;Tom12234455;R3;39300
69;scotch2013;R2;38300
70;Leijonamieli;R3;38050
71;UMYstern;R3;37550
72;Fürst der Nazgúl;R4;36650
73;Peeter99;R3;36000
74;EXITUS;R3;35650
75;Tyskie 66;R3;34750
76;Giorgiotown;R3;34250
77;jobcenter FFM;R1;32800
78;giMp;R1;32800
79;MiepStreet;R1;32650
80;Mac1902;R1;31900
81;CalibratGTR;R2;29150
82;yyyyyyvhhnmll;R1;28800
83;Kpiftw;R2;28450
84;Seniorcoca;R2;27750
85;FugitiveRazor1;R3;26800
86;Feivel D MauS;R3;25100
87;Lilien1999;R3;20650
88;Mischel89;R2;16700
89;dome94G;R2;15900
90;ENG ḳ;R1;14400
91;Haulsen;R3;11850
92;Dr Cal Lightman;R1;6450
93;Jónny666;R2;5200
94;Himbeertony;R2;3450
95;MetauChopf;R3;3200
96;ComandanteFelps;R2;2100
97;Arkangel ツ;R1;800
98;Tcherbilmock;R2;400
99;mr prynn;R1;300
100;Skywölkchen;R2;0
