position,name,points
1,"[Azo]Smowy",2859480
2,"[Azo]Li La LiNuS",2680384
3,"[Azo]Kotor47",2578040
4,"[Azo]Baba Basti",2275974
5,"[Azo]Azuuzz",2086273
6,"[Azo]2 s t y",2015141
7,"[Azo]JSheridan",1788204
8,"[Azo]PHOENIX FOX",1651439
9,"[Azo]Last Wolf Warrior",1589183
10,"[Azo]Golden FOX",1313666
11,"[Azo]Feivel D MauS",963764
12,"[Azo]RAV28",849692
13,"[Azo]IefueT",839721
14,"[Azo]DaliborDaki",673739
15,"[Azo]계프 부인",554307
16,"[Azo]Mac1902",475551
17,"[Azo]The Nanos",467131
18,"[Azo]dome94G",353848
19,"[Azo]SamoZlo",340615
20,"[Azo]ozzy5255",320766
21,"[Azo]fffeyz",288454
22,"[Azo]azerty57",245864
23,"[Azo]DragonWiz",172703
