position;name;points
1;Space peak;17922000
2;azerty57;13819350
3;Bugab0o;13244700
4;Fürst der Nazgûl;13032150
5;Kytrider;13018650
6;ozzy5255;12900650
7;jukata;12458550
8;LatastrophenUlli;12214800
9;CL16CS55;12069868
10;PHOENIX FOX;12054450
11;Leijonamieli;11767350
12;GaaGol;11761800
13;LE LIGRE;11664245
14;Alina;11384100
15;Li La QuEeNuS;11283300
16;Captain ESCANOR;11157600
17;Tom12234455;11064750
18;FugitiveRazor1;10806000
19;Babakuji;10768950
20;IefueT;10705350
21;Campio91;10703475
22;111Dave111;10698600
23;Svela17;10666800
24;Tyskie 66;10433850
25;fffeyz;10380095
26;ECSI;10362750
27;Haulsen;10320000
28;Kotor47;10311900
29;giMp;10263600
30;sunny75;10256700
31;JSheridan;10103100
32;DragonWiz;10049850
33;Golden FOX;10025100
34;Peeter99;9938550
35;Chrisiiiii;9879300
36;SmartesGirl;9829200
37;Mischel89;9789885
38;Fürstin;9712800
39;Enia la simpatica;9677250
40;Toby Urbex;9658350
41;Powwdér;9657586
42;PHILAES;9653750
43;LordHemorrhoid;9584700
44;DaliborDaki;9565500
45;Dejweed;9458400
46;Lilien1999;9383550
47;Adàm;9375900
48;Sphere8472;9327750
49;SNPOL;9212250
50;JSnoopy;9133950
51;Mudin364;9125400
52;Last Wolf Warrior;9103350
53;Arkangel ツ;9081850
54;supi pupi;9073800
55;Bogo und Pini;9070650
56;waynowazza;8909950
57;pizm8 ツ;8789250
58;Giorgiotown;8766600
59;Cluster82;8676900
60;Mac1902;8605151
61;MetauChopf;8586450
62;Fluffy;8568600
63;Queeniiiiii;8554500
64;Fran171526;8549700
65;Katerina77;8467800
66;Feivel D MauS;8451300
67;adhd9;8321225
68;mybo0;8187300
69;EXITUS;8170500
70;ComandanteFelps;8165250
position;name;points
71;Archy Monkey;8129387
72;feimel;8038050
73;Tcherbilmock;8017375
74;Baba Basti;7953750
75;mr prynn;7953600
76;Anakín;7950550
77;Z4ID;7922600
78;cappu97;7916550
79;UMY LION OF GOD CC;7832091
80;Kpiftw;7713900
81;Moooolah;7703900
82;SNEAKY BUNNY;7701000
83;scotch2013;7587150
84;Smowy;7567200
85;CalibratGTR;7551270
86;Cichax0;7546350
87;K E R S Y;7442850
88;PIRAT 13;7431000
89;Dragon blou;7305150
90;haasenpeter rex;7259550
91;Sultan Murat X;7243050
92;Pinsel20;7203900
93;hsk1338;6015802
94;yyyyyyvhhnmll;5486100
95;Aenwe;5239200
96;CalziferFire;5091300
97;dome94G;4873650
98;Sanya Longer;4542000
99;MiepStreet;0
100;Seniorcoca;0
