Position,Name,Points
1,Bugab0o,36040650
2,MetauChopf,34505700
3,Haulsen,31822950
4,Kotor47,30797000
5,Fran171526,30796800
6,Kytrider,28241750
7,Sphere8472,24675657
8,LaFleur32,24541425
9,pizm8 ツ,24523265
10,Giorgiotown,24425450
11,UMY Stern,24301500
12,Baba Basti,24035150
13,IefueT,22727450
14,supi pupi,22438700
15,Svela17,22097450
16,PHOENIX FOX,20502500
17,Cluster82,20252600
18,Archy Monkey,20167879
19,Last Wolf Warrior,19866051
20,Li La LiNuS,19089150
21,SNPOL,18903630
22,cappu97,18723300
23,sunny75,18422077
24,Space peak,17616476
25,Chrisiiii,17344749
26,Bogo und Pini,17290400
27,Smowy,17231776
28,Pinsel20,17200060
29,Peeter99,16711171
30,Dejweed,15942250
31,Cheesynator,15290482
32,jukata,15144800
33,Fürst der Nazgûl,14951900
34,Tyskie 66,14049300
35,haasenpeter rex,14037576
36,JSheridan,13663350
37,CalziferFire,13655550
38,dome94G,12498600
39,Fürstin,12417564
40,Sultan Murat X,12287027
41,Mischel89,12189759
42,عL̄M,11890025
43,Golden FOX,11821700
44,EXITUS,11700145
45,azerty57,11695413
46,ozzy5255,11383650
47,ECSI,11330831
48,Anakín,11235672
49,Lilien1999,11167061
50,fffeyz,11164100
51,Tom12234455,10971552
52,giMp,10905800
53,Katerina77,10717174
54,GaaGol,10686506
55,Leijonamieli,10542388
56,Kpiftw,10509767
57,LatastrophenUlli,10210316
58,SmartesGirl,10051385
59,feimel,10024651
60,Feivel D MauS,9788761
61,Dragon blou,9754022
62,DragonWiz,9725621
63,Dr Cal Lightman,9556000
64,K E R S Y,9495400
65,케포 부인,9068019
66,DaliborDaki,8624230
67,Aenwe,8588315
68,Mac1902,8390890
69,Toby Urbex,8227975
70,waynowazza,8201500
71,VxClicker,8181585
72,Queeniiiiii,7941450
73,The Pharo 2026,7789715
74,Z4ID,7654555
75,Sanya Longer,7326300
76,jobcenter FFM,7279525
77,Itstheghoul,6262964
78,ToxicV9,6144532
79,Seniorcoca,6033414
80,Campio91,5564750
81,K u r d o,5257650
82,Jónny666,5066075
83,yyyyyyvhhnmll,4931400
84,MiepStreet,4558075
85,Himbeertony,3717900
