Position,Name,Rank,Points
1,azerty57,R3,104000
2,cappu97,R4,80200
3,Bugab0o,R3,75600
4,Svela17,R3,65200
5,Jónny666,R3,61650
6,KERSY,R3,61150
7,jukata,R3,58950
8,PHOENIX FOX,R4,58500
9,Last Wolf Warrior,R3,58250
10,Gordon Freimann,R3,58050
11,ECSI,R3,57950
12,Queeniiiiii,R5,57100
13,Golden FOX,R2,56900
14,Skywölkchen,R3,56300
15,Fürstin,R3,55850
16,Cluster82,R3,55700
17,Kotor47,R4,54500
18,Baba Basti,R3,54200
19,Toby Urbex,R3,53650
20,MrSajmonn,R3,52350
21,GaaGol,R3,52250
22,Space peak,R2,51900
23,Smowy,R4,51850
24,Christo30,R3,51650
25,Pawelte,R3,51250
26,lefueT,R3,50650
27,TheShorty,R3,50300
28,Haulsen,R3,49800
29,Kpiftw,R3,49700
30,supi pupi,R4,49300
31,SNPOL,R3,49100
32,Jimi777,R2,49000
33,waynowazza,R2,48950
34,DragonWiz,R3,48550
35,Sphere8472,R3,48050
36,RAV28,R3,47900
37,The Nanos,R2,47850
38,케포 부인,R3,46650
39,Sultan Murat X,R2,46150
40,Fran171526,R3,45750
41,Kytrider,R4,45650
42,Jacob Carter,R3,45500
43,sunny75,R3,45000
44,Bogo und Pini,R3,44550
45,The Pharo 2026,R2,44150
46,JSheridan,R4,44150
47,Campio91,R2,44000
48,Aenwe,R3,44000
49,MG Mayo,R2,43500
50,UMY Stern,R3,43500
51,Dragon blou,R3,43350
52,fffeyz,R3,43150
53,haasenpeter rex,R4,42900
54,Bestia77,R2,42900
55,CalziferFire,R3,42450
56,Giorgiotown,R3,42450
57,ozzy5255,R3,42400
58,SamoZlo,R2,42400
59,DaliborDaki,R3,42300
60,Li La LiNuS,R3,42150
61,Tom12234455,R3,41600
62,2 s t y,R3,41250
63,Schlabberbacke,R4,40850
64,Sanya Longer,R3,40600
65,Last Arti,R3,40100
66,Tyskie 66,R3,39700
67,Itstheghoul,R2,39350
68,Mac1902,R2,39200
69,Fürst der Nazgúl,R4,39100
70,Dejweed,R3,38650
71,dome94G,R3,38450
72,feimel,R3,38400
73,Dr Cal Lightman,R3,38250
74,EXITUS,R3,37550
75,Marshalferry,R3,37050
76,giMp,R2,36000
77,Hhjjjjcg,R3,35500
78,Lilien1999,R2,34200
79,Katerina77,R3,33950
80,SmartesGirl,R3,31900
81,Pinsel20,R2,31400
82,MiepStreet,R1,31300
83,LatastrophenUlli,R2,30450
84,K u r d o,R2,30100
85,Peeter99,R2,28750
86,Z4ID,R3,27150
87,yyyyyyvhnnml,R1,25800
88,Himbeertony,R3,25750
89,Peridakles,R3,24750
90,jobcenter FFM,R3,23950
91,Leijonamieli,R2,23200
92,Feivel D Maus,R3,20750
93,Cheesynator,R2,18500
94,VxClicker,R1,17850
95,Mischel89,R3,15000
96,MetauChopf,R3,11650
97,FATUUM,R1,0
