position,name,rank,points
1,azerty57,R3,110750
2,cappu97,R4,79450
3,Bugab0o,R3,77050
4,Fürstin,R3,74850
5,waynowazza,R3,71100
6,Queeniiiii,R5,66350
7,Svela17,R3,65050
8,jukata,R3,63650
9,ECSI,R3,62750
10,Cluster82,R3,62750
11,PHOENIX FOX,R4,61450
12,JSheridan,R4,61050
13,Golden FOX,R3,59900
14,Bogo und Pini,R3,59000
15,K E R S Y,R3,58700
16,Last Wolf Warrior,R3,57300
17,Kotor47,R4,57000
18,supi pupi,R4,55750
19,Kytrider,R4,54900
20,Space peak,R3,53850
21,haasenpeter rex,R4,53450
22,DragonWiz,R3,53350
23,Sphere8472,R3,52650
24,lefueT,R3,52350
25,Smowy,R4,52350
26,Toby Urbex,R3,51700
27,SNPOL,R3,51200
28,Fürst der Nazgúl,R4,50650
29,Kpiftw,R2,50350
30,Baba Basti,R3,50250
31,Chrisiiii,R3,47950
32,CalziferFire,R3,47900
33,GaaGol,R3,46850
34,DaliborDaki,R3,46400
35,Campio91,R2,46250
36,fffeyz,R3,46100
37,케포 부인,R3,45900
38,Fran171526,R3,45550
39,Jónny666,R3,45050
40,Sultan Murat X,R3,44800
41,Haulsen,R3,44500
42,The Nanos,R1,44450
43,Dragon blou,R3,44150
44,Last Arti,R3,44000
45,Mac1902,R2,43500
46,Sanya Longer,R3,43300
47,sunny75,R3,42950
48,Li La LiNuS,R3,42950
49,Bestia77,R2,42300
50,The Pharo 2026,R1,42150
51,Tom12234455,R3,42100
52,Jacob Carter,R3,41800
53,pizm8 ツ,R3,41700
54,ozzy5255,R3,41200
55,Leijonamieli,R3,40650
56,EXITUS,R3,40600
57,Aenwe,R3,40450
58,SmartesGirl,R3,40300
59,Dejweed,R3,38850
60,Giorgiotown,R3,38700
61,LatastrophenUlli,R1,38600
62,Katerina77,R3,38550
63,Peridakles,R3,38350
64,UMY Stern,R3,38050
65,Feivel D MauS,R3,36700
66,K u r d o,R1,36150
67,yyyyyyvhhnmll,R2,36100
68,Peeter99,R2,35600
69,Tyskie 66,R3,33800
70,Pinsel20,R2,33700
71,feimel,R3,31250
72,Skywölkchen,R3,29950
73,Itstheghoul,R2,28400
74,Lilien1999,R3,25600
75,jobcenter FFM,R2,25300
76,Z4ID,R3,24050
77,MiepStreet,R3,22700
78,Himbeertony,R2,21450
79,MetauChopf,R3,21400
80,Dr Cal Lightman,R2,20150
81,Mischel89,R1,18750
82,Cheesynator,R2,18150
83,ToxicV9,R2,17900
84,VxClicker,R1,17000
85,dome94G,R3,16950
86,LaFleur32,R1,2100
87,Azuuzz,R3,0
88,giMp,R1,0
89,Gordon Freimann,R3,0
90,TheShorty,R1,0
91,MellidieGroße,R1,0
