position;name;rank;points
1;BugaBoo;R3;96450
2;azerty57;R3;89700
3;waynowazza;R3;80200
4;Space peak;R2;75400
5;cappu97;R4;75300
6;CL16CS55;R3;69950
7;Smowy;R4;67200
8;Queeniiiiii;R5;67100
9;JSnoopy;R3;65100
10;Bogo und Pini;R3;64400
11;mr prynn;R2;63100
12;jukata;R3;62250
13;Anakín;R3;61850
14;K E R S Y;R3;60650
15;lefueT;R3;60050
16;Kytrider;R4;59150
17;ECSI;R3;57550
18;Svela17;R3;57200
19;111Dave111;R3;56850
20;Golden FOX;R3;56200
21;supi pupi;R4;56050
22;Kpiftw;R2;54550
23;Cluster82;R3;54350
24;SNPOL;R3;53550
25;Haulsen;R3;53450
26;Toby Urbex;R2;53350
27;DragonWiz;R3;52700
28;Moooolah;R3;52100
29;Archy Monkey;R3;50200
30;Katerina77;R3;50150
31;Captain ESCANOR;R3;50100
32;Last Wolf Warrior;R3;49900
33;feimel;R3;48700
34;PHOENIX FOX;R4;48350
35;Tcherbilmock;R2;48200
36;Sultan Murat X;R3;48050
37;Dragon blou;R3;47900
38;GaaGol;R2;47850
39;pizm8 ツ;R4;47850
40;DaliborDaki;R3;47850
41;ComandanteFelps;R3;47700
42;Kotor47;R3;47650
43;Chrisiiiii;R3;47600
44;JSheridan;R4;47250
45;adhd9;R3;47100
46;Mudin364;R3;47100
47;CalziferFire;R3;47100
48;Adàm;R3;46950
49;mybo0;R3;46950
50;Pinsel20;R2;46550
51;Fürst der Nazgûl;R4;46550
52;PHILAES;R3;46250
53;Fluffy;R3;46250
54;Fran171526;R4;46200
55;Cichax0;R3;46100
56;sunny75;R3;46000
57;SNEAKY BUNNY;R3;45900
58;Li La LiNuS;R3;45800
59;LE LIGRE;R3;45600
60;Fürstin;R3;45450
61;Dejweed;R3;45300
62;SmartesGirl;R3;44850
63;Aenwe;R3;44800
64;haasenpeter rex;R4;44300
65;Sphere8472;R3;44000
66;Lilien1999;R3;43750
67;Baba Basti;R3;43650
68;UMYstern;R3;42450
69;scotch2013;R2;42250
70;MiepStreet;R2;41450
71;Campio91;R2;41300
72;ozzy5255;R2;40550
73;Tom12234455;R3;39850
74;Feivel D MauS;R3;39350
75;Tyskie 66;R3;39050
76;Mac1902;R2;38800
77;Peeter99;R2;38400
78;EXITUS;R2;38400
79;Giorgiotown;R3;38250
80;LatastrophenUlli;R2;38100
81;Leijonamieli;R2;36150
82;fffeyz;R3;36100
83;CalibratGTR;R3;34200
84;Babakuji;R2;34100
85;FugitiveRazor1;R3;33550
86;Sanya Longer;R2;32200
87;giMp;R3;31200
88;yyyyyyvhhnmll;R1;25150
89;ENG ķ;R2;21700
90;dome94G;R2;20800
91;Mischel89;R3;18350
92;Seniorcoca;R2;15950
93;PIRAT 13;R2;13600
94;LordHemorrhoid;R2;7100
95;Himbeertony;R1;6300
96;MetauChopf;R3;5200
97;Powwdér;R2;3550
98;jobcenter FFM;R1;0
99;Dr Cal Lightman;R1;0
