position;name;points
1;Last Wolf Warrior;64.154.720
2;FugitiveRazor1;49.864.353
3;CalibratGTR;40.246.094
4;EXITUS;24.236.313
5;Seniorcoca;18.980.375
6;Li La LiNuS;15.144.456
7;Mischel89;12.020.615
8;cappu97;11.013.833
9;Feivel D MauS;10.741.864
10;Kotor47;10.727.262
11;Leijonamieli;10.085.950
12;SNPOL;10.030.614
13;IefueT;9.992.963
14;DragonWiz;9.939.756
15;K E R S Y;9.883.261
16;Fürstin;9.812.398
17;UMYstern;9.796.912
18;pizm8 ツ;9.513.419
19;CL16CS55;9.398.290
20;Kytrider;9.365.335
21;Fran171526;9.184.259
22;ozzy5255;9.094.029
23;Cluster82;9.086.952
24;fffeyz;9.078.175
25;haasenpeter rex;9.024.148
26;Archy Monkey;9.009.141
27;azerty57;9.008.591
28;LE LIGRE;8.912.636
29;Giorgiotown;8.608.016
30;mr prynn;8.552.065
31;Svela17;8.507.624
32;PHILAES;8.463.722
33;Fluffy;8.440.785
34;Tcherbilmock;8.346.000
35;ECSI;8.327.466
36;MiepStreet;8.244.188
37;ComandanteFelps;8.222.924
38;Anakín;8.200.975
39;111Dave111;8.165.740
40;mybo0;8.149.983
41;Smowy;8.138.590
42;Haulsen;8.113.134
43;Bogo und Pini;7.944.750
44;Sphere8472;7.913.901
45;Dragon blou;7.870.852
46;adhd9;7.860.012
47;feimel;7.858.959
48;Mac1902;7.854.902
49;supi pupi;7.817.748
50;Campio91;7.810.939
51;Toby Urbex;7.809.117
52;giMp;7.778.076
53;CalziferFire;7.728.184
54;Sultan Murat X;7.683.401
55;Pinsel20;7.612.248
56;Queeniiiiii;7.597.530
57;Kpiftw;7.569.333
58;Mudin364;7.559.467
59;GaaGol;7.523.846
60;PHOENIX FOX;7.468.980
61;Dejweed;7.439.676
62;Babakuji;7.422.562
63;JSnoopy;7.412.421
64;LatastrophenUlli;7.343.773
65;Golden FOX;7.317.017
66;Cichax0;7.315.749
67;DaliborDaki;7.313.803
68;Baba Basti;7.294.373
69;jukata;7.273.047
70;SNEAKY BUNNY;7.241.964
71;Aenwe;7.226.474
72;Katerina77;7.209.497
73;JSheridan;7.205.025
74;Tyskie 66;7.152.096
75;Space peak;6.992.346
76;MetauChopf;6.244.266
77;sunny75;5.977.101
78;ENG ķ;5.408.088
79;waynowazza;5.257.797
80;Bugab0o;5.152.766
81;Adám;5.009.318
82;scotch2013;4.796.497
83;SmartesGirl;4.457.947
84;Moooolah;4.438.770
85;Fürst der Nazgûl;4.391.988
86;Sanya Longer;4.142.048
87;Chrisiiii;3.756.773
88;Captain ESCANOR;3.714.664
89;Lilien1999;3.122.586
90;yyyyyyyhhnmll;2.880.331
91;Peeter99;2.503.125
92;Tom12234455;2.261.250
93;dome94G;1.661.101
94;Himbeertony;475.912
